jid,formula,point_group,n_channels,channels,dominant_channel,coarse_class,fine_class_tol005
JVASP-14772,Ti2S2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-14884,Mo6Al2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
JVASP-14885,Cr2B2,D2h,3,d;p;s,s,C04_D2h,F006_D2h_s
JVASP-14892,Cr4Si4,T,4,d;f;s;z3,z3,C17_T,F039_T_z3
JVASP-14900,Ni3Mo3P3,D3h,3,d;s;z3,z3,C06_D3h,F046_D3h_z3
JVASP-14903,Cr2B2Al,D2h,3,d;p;s,s,C04_D2h,F023_D2h_s
JVASP-14924,Co3B2Hf,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F138_D6h_z3
JVASP-14932,Ti4B4,D2h,3,d;p;s,s,C04_D2h,F030_D2h_s
JVASP-14971,Ni3Al,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-15011,Be4Ta2,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-15120,Cr3GaN,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-15729,Mn3PtN,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-15734,Ti4Si4,D2h,3,d;p;s,s,C04_D2h,F030_D2h_s
JVASP-15750,Ru3ScC,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-15777,V6Ni2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
JVASP-15785,P4Cr2,C2h,3,d;p;s,s,C08_C2h,F062_C2h_s
JVASP-15854,Co3AlC,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-15938,Nb6Si2,Oh,5,d;f;p;s;z3,f,C00_Oh,F150_Oh_f
JVASP-15968,Cr3PdN,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-15969,Cr3PtN,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-16217,V4Ge2C2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F051_D6h_z3
JVASP-16218,Ti4Ge2C2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-16228,V2B2,D2h,3,d;p;s,s,C04_D2h,F006_D2h_s
JVASP-16320,Si6V3,D6,4,d;s;z3;z6,z3,C13_D6,F133_D6_z3
JVASP-16426,Sc4Al2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F139_D6h_z3
JVASP-16463,Be5Zr,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F038_D6h_z3
JVASP-16647,Ti6Si2B,D3h,3,d;s;z3,z3,C06_D3h,F110_D3h_z3
JVASP-16660,Al4Ti2,D2h,3,d;p;s,s,C04_D2h,F024_D2h_s
JVASP-16762,Al6W3,D6,4,d;s;z3;z6,z3,C13_D6,F134_D6_z3
JVASP-16781,Rh3Cr,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-16869,Si2Ca,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-16903,Sc4Al2C2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-16924,O3AlV,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-17310,Nb4C3,Oh,5,d;f;p;s;z3,f,C00_Oh,F151_Oh_f
JVASP-17334,Mn2N2,C2v,2,d;s,s,C09_C2v,F068_C2v_s
JVASP-17353,O3AlCr,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-17455,O3Fe2Na,D3d,3,p;s;z3,z3,C07_D3d,F098_D3d_z3
JVASP-17515,Cr4Ge2C2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F051_D6h_z3
JVASP-17558,V4As4,D2h,3,d;p;s,s,C04_D2h,F085_D2h_s
JVASP-17673,Ti3InC,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-17794,Cr6Ge2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
JVASP-17837,Mn2V2As2,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F118_D4h_z4
JVASP-17853,Co4B4,D2h,3,d;p;s,s,C04_D2h,F030_D2h_s
JVASP-17912,V4In2C2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-17944,Cr4P4,D2h,3,d;p;s,s,C04_D2h,F031_D2h_s
JVASP-18020,Cr3RhN,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-18097,Nb3Cr3Ge3,D3h,3,d;s;z3,z3,C06_D3h,F111_D3h_z3
JVASP-18258,Co4N2,D2h,3,d;p;s,s,C04_D2h,F086_D2h_s
JVASP-18950,O4Rh2,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F033_D4h_z4
JVASP-18955,Ti4P4,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-19614,F4Pd2,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F048_D4h_z4
JVASP-19765,V6Rh2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
JVASP-19769,V6Co2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
JVASP-19777,Cr6Ir2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
JVASP-19852,O4Ru2,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F034_D4h_z4
JVASP-20067,B6K,Oh,5,d;f;p;s;z3,f,C00_Oh,F152_Oh_f
JVASP-20085,V2P2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-20204,Ti6Al2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F052_D6h_z3
JVASP-20275,V6Ir2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
JVASP-20434,V6Pt2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
JVASP-20481,V4S4,D2h,3,d;p;s,s,C04_D2h,F031_D2h_s
JVASP-20554,Be4Nb2,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-34349,Ti2S2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-35026,O4Pd2,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F034_D4h_z4
JVASP-35497,Y2Fe2Si2C,C2h,3,d;p;s,s,C08_C2h,F040_C2h_s
JVASP-35526,C3Y2Cr2,C2h,3,d;p;s,s,C08_C2h,F063_C2h_s
JVASP-35682,Co3Nb,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-35957,Mn3N2,D3d,3,p;s;z3,z3,C07_D3d,F099_D3d_z3
JVASP-36169,Co3W,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-36173,Co3Mo,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-36199,Al3V,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-36654,Co3V,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-36657,V2N2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F015_D6h_z3
JVASP-37096,B2Mo2,D2h,3,d;p;s,s,C04_D2h,F006_D2h_s
JVASP-37098,Sc2C2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F015_D6h_z3
JVASP-37883,O3CaB,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-37941,Al6Fe2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F053_D6h_z3
JVASP-39772,Ru2LiSi,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-39974,Ir2MgTa,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-40624,O5K2Rh2,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F119_D4h_z4
JVASP-41256,Rh2HfGa,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41603,V2TcRu,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-42657,O4Fe2,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F120_D4h_z4
JVASP-4316,B2Mo,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-4406,Si2Sc,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-47455,O4VSn,D2h,3,d;p;s,s,C04_D2h,F087_D2h_s
JVASP-48131,O3Fe2F,C2v,2,d;s,s,C09_C2v,F069_C2v_s
JVASP-50092,Ti3O3,Oh,5,d;f;p;s;z3,f,C00_Oh,F153_Oh_f
JVASP-55218,Mn3RhN,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-67418,Be2VRu,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F009_C4v_z4
JVASP-69372,P2BaPb,C4v,5,d;d_x2y2;d_xy;s;z4,s,C03_C4v,F018_C4v_s
JVASP-69621,Be2VFe,Td,4,d;f;s;z3,s,C05_Td,F005_Td_s
JVASP-70225,Be2CrFe,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F014_C4v_z4
JVASP-71009,Sc2BeBr,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F049_D4h_z4
JVASP-71027,Rh2MnBe,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F043_C4v_z4
JVASP-71169,Co4BeNb,Td,4,d;f;s;z3,z3,C05_Td,F060_Td_z3
JVASP-71188,Ir2BeGe,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F007_C4v_z4
JVASP-71220,Mn2BeIr,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F007_C4v_z4
JVASP-71569,Be2TiV,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F010_D4h_z4
JVASP-74055,Mn2BeFe,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F007_C4v_z4
JVASP-74805,Be2FeSi,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F011_D4h_z4
JVASP-74920,Be2MoP,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F011_D4h_z4
JVASP-7899,O3W,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-79816,Fe2S2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F015_D6h_z3
JVASP-8008,Ni4B2,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F121_D4h_z4
JVASP-8178,Fe4Si4,T,4,d;f;s;z3,z3,C17_T,F039_T_z3
JVASP-85032,Be2RuRh,C2h,3,d;p;s,s,C08_C2h,F019_C2h_s
JVASP-8528,Ru3NbC,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-89933,Ti3Cr3As3,D3h,3,d;s;z3,z3,C06_D3h,F112_D3h_z3
JVASP-90136,Ti3Fe3As3,D3h,3,d;s;z3,z3,C06_D3h,F113_D3h_z3
JVASP-90617,Co6Ta2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F050_D6h_z3
JVASP-91708,V6Fe2,Oh,5,d;f;p;s;z3,f,C00_Oh,F058_Oh_f
JVASP-92687,N3V2,D3d,3,p;s;z3,z3,C07_D3d,F100_D3d_z3
JVASP-93232,O3SrCu,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-93356,Co4Zr2,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-93360,Al4Sc2,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-93368,Nb3O3,Oh,5,d;f;p;s;z3,f,C00_Oh,F154_Oh_f
JVASP-93823,H4MgTi,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F122_D4h_z4
JVASP-93895,Co4Ti2,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-94854,S4V2Co,C2h,3,d;p;s,s,C08_C2h,F019_C2h_s
JVASP-94898,S4V2Cr,C2h,3,d;p;s,s,C08_C2h,F019_C2h_s
JVASP-99406,Al3Hf2Ag,D3d,3,p;s;z3,z3,C07_D3d,F101_D3d_z3
JVASP-99516,Ca2B2C2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F054_D6h_z3
JVASP-99585,B2CrMo,C2v,2,d;s,s,C09_C2v,F017_C2v_s
JVASP-99903,N4Zr3Al,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F123_D4h_z4
JVASP-114723,O2CaZr,C4v,5,d;d_x2y2;d_xy;s;z4,s,C03_C4v,F018_C4v_s
JVASP-115267,O3Nb,C1,1,s,s,C11_C1,F022_C1_s
JVASP-14513,Ti6Hg2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
JVASP-11984,Re6Co2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F053_D6h_z3
JVASP-14504,Co4Hf2,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-14524,Mo6Ga2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
JVASP-15080,Si2Sc,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-15410,Ti3TlC,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-15429,Zr4Al2N2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-16412,Si6V3,D6,4,d;s;z3;z6,z3,C13_D6,F135_D6_z3
JVASP-16588,Ru3Nb,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-16798,P4Ru4,D2h,3,d;p;s,s,C04_D2h,F088_D2h_s
JVASP-18446,S4Cr2Ni,C2h,3,d;p;s,s,C08_C2h,F019_C2h_s
JVASP-18507,P4Ni2Ba,D4h,6,d;d_x2y2;d_xy;p;s;z4,s,C02_D4h,F124_D4h_s
JVASP-19755,V6Sb2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
JVASP-19844,Al4Sc2,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-19919,B2Mo,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-20086,Mo6Ir2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
JVASP-20098,Rh3Ti,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-20462,Ti6Al2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F052_D6h_z3
JVASP-20544,V6Ir2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
JVASP-20580,Fe2S2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F015_D6h_z3
JVASP-20626,V6Pt2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
JVASP-37038,Al3Ti,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-37536,Ti2Pd2,D2h,3,d;p;s,s,C04_D2h,F024_D2h_s
JVASP-37636,O3ScSn,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-37783,Fe2HfAl,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-39945,Al2FeIr,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-40033,Ru2TiAl,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-4403,Ni3Al,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-54783,Rh2VSn,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-56344,Rh3ScB,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-62158,Ti3Cr3As3,D3h,3,d;s;z3,z3,C06_D3h,F046_D3h_z3
JVASP-8075,Mo6Ge2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
JVASP-14528,Cr4Ta2,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-14557,Rh3Nb,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-14722,Cr6Pt2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
JVASP-14774,Cr4Nb2,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-14891,Al2B2Mo2,D2h,3,d;p;s,s,C04_D2h,F006_D2h_s
JVASP-15003,Nb6Pt2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
JVASP-15030,O4Ir2,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F048_D4h_z4
JVASP-15615,O3BaIr,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-15727,Hf3Mo3P3,D3h,3,d;s;z3,z3,C06_D3h,F114_D3h_z3
JVASP-15896,Sc3TlB,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-16659,Ni4ScSn,Td,4,d;f;s;z3,z3,C05_Td,F060_Td_z3
JVASP-17473,O3BaMo,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-17939,Sc3PbC,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-18546,Rh3YB,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-19592,Zr6O2,D6,4,d;s;z3;z6,z3,C13_D6,F136_D6_z3
JVASP-19597,Rh3Hf,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-19936,O4Os2,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F033_D4h_z4
JVASP-20070,Ir3V,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-20075,Ir3Ti,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-20246,Nb6Os2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
JVASP-36674,Ni3CdN,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-37858,Al2CoOs,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-38968,O3TaBe,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-40024,Ir2TiGa,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-40492,Ru2ScSn,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-40540,Mn2TaTi,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41523,V3Ru,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-41590,Ru2VZn,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-7851,O3SrMo,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-7997,Rh3Zr,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-103684,SrBeSi,D3h,3,d;s;z3,z3,C06_D3h,F008_D3h_z3
JVASP-105985,SrZnSi,D3h,3,d;s;z3,z3,C06_D3h,F008_D3h_z3
JVASP-106123,CaBeSi,D3h,3,d;s;z3,z3,C06_D3h,F008_D3h_z3
JVASP-108072,SrGaSi,D3h,3,d;s;z3,z3,C06_D3h,F008_D3h_z3
JVASP-111325,ZrBeB,D3h,3,d;s;z3,z3,C06_D3h,F008_D3h_z3
JVASP-113690,AlSbO,C4v,5,d;d_x2y2;d_xy;s;z4,s,C03_C4v,F018_C4v_s
JVASP-114020,BaBrO,Cs,2,d;s,s,C12_Cs,F044_Cs_s
JVASP-115194,I2Li,D2h,3,d;p;s,s,C04_D2h,F023_D2h_s
JVASP-115398,F2Pd,D2h,3,d;p;s,s,C04_D2h,F006_D2h_s
JVASP-115762,NaCO,Cs,2,d;s,s,C12_Cs,F075_Cs_s
JVASP-116051,TaNF,D3h,3,d;s;z3,z3,C06_D3h,F008_D3h_z3
JVASP-116236,S2La,D2h,3,d;p;s,s,C04_D2h,F006_D2h_s
JVASP-116374,F2Nb,D4h,6,d;d_x2y2;d_xy;p;s;z4,s,C02_D4h,F016_D4h_s
JVASP-116379,O2Nb,D2h,3,d;p;s,s,C04_D2h,F006_D2h_s
JVASP-118338,TiOF,D4h,6,d;d_x2y2;d_xy;p;s;z4,s,C02_D4h,F016_D4h_s
JVASP-118527,O2Hf,C2v,2,d;s,s,C09_C2v,F028_C2v_s
JVASP-118592,N2La,Ci,2,p;s,s,C16_Ci,F072_Ci_s
JVASP-118904,N2Li,C2h,3,d;p;s,s,C08_C2h,F019_C2h_s
JVASP-120177,SiOF,D3h,3,d;s;z3,z3,C06_D3h,F008_D3h_z3
JVASP-120277,LiAlN,D3h,3,d;s;z3,z3,C06_D3h,F008_D3h_z3
JVASP-14496,Nb2C,D3d,3,p;s;z3,s,C07_D3d,F013_D3d_s
JVASP-15255,SrAlSi,D3h,3,d;s;z3,z3,C06_D3h,F008_D3h_z3
JVASP-15923,Ta2N,D3d,3,p;s;z3,s,C07_D3d,F013_D3d_s
JVASP-17215,SrAlGe,D3h,3,d;s;z3,z3,C06_D3h,F008_D3h_z3
JVASP-17322,MgNiSb,Td,4,d;f;s;z3,s,C05_Td,F005_Td_s
JVASP-19933,Ga2Ca,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-20237,Ga2Y,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-311,Ti2O,D3d,3,p;s;z3,s,C07_D3d,F013_D3d_s
JVASP-572,S2V,D3d,3,p;s;z3,s,C07_D3d,F013_D3d_s
JVASP-578,S2Nb,D3d,3,p;s;z3,s,C07_D3d,F013_D3d_s
JVASP-67265,TiBeRh,C3v,2,s;z3,s,C15_C3v,F042_C3v_s
JVASP-67588,ScBeRh,D3h,3,d;s;z3,z3,C06_D3h,F008_D3h_z3
JVASP-70115,HfBeCu,D3h,3,d;s;z3,z3,C06_D3h,F008_D3h_z3
JVASP-70233,ScBeGe,D3h,3,d;s;z3,z3,C06_D3h,F008_D3h_z3
JVASP-74557,ScBeIn,D3h,3,d;s;z3,z3,C06_D3h,F008_D3h_z3
JVASP-115789,O2CaGa,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F007_C4v_z4
JVASP-115343,O2TiSn,C4v,5,d;d_x2y2;d_xy;s;z4,s,C03_C4v,F012_C4v_s
JVASP-118844,N2CaAs,C4v,5,d;d_x2y2;d_xy;s;z4,s,C03_C4v,F012_C4v_s
JVASP-100511,Zn2TiPd,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-100835,Se2GaCu,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F049_D4h_z4
JVASP-105494,Zn2HfGa,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F035_D4h_z4
JVASP-106147,Mg2LiIr,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-109989,Li3Sn,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-12104,Fe2S2,D4h,6,d;d_x2y2;d_xy;p;s;z4,s,C02_D4h,F016_D4h_s
JVASP-1219,Cu2O2,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F036_D4h_z4
JVASP-14781,Pd3Y,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-15118,Li2GaRh,Td,4,d;f;s;z3,s,C05_Td,F005_Td_s
JVASP-15694,Ca2Ga2,D2h,3,d;p;s,s,C04_D2h,F006_D2h_s
JVASP-16363,Cu2HfAl,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-16499,Cu2ScGa,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-16583,Al2LiIr,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-16683,Ag2LiAl,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-16738,Pt3Ti,Oh,5,d;f;p;s;z3,f,C00_Oh,F003_Oh_f
JVASP-17428,Pd2ScAl,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-17540,Ni2ZrSn,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-17553,Ni2MgIn,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-17757,Ga2LiRu,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-17953,Cu2ScIn,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-18617,Li2SnAu,Td,4,d;f;s;z3,s,C05_Td,F005_Td_s
JVASP-18687,Cu2ZnNi,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F035_D4h_z4
JVASP-18688,Rh2CuSn,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-18741,Ni2MgSb,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-18765,Li2AlPt,Td,4,d;f;s;z3,s,C05_Td,F005_Td_s
JVASP-18767,Li2AlRh,Td,4,d;f;s;z3,s,C05_Td,F005_Td_s
JVASP-19674,Pd2O2,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F036_D4h_z4
JVASP-19842,Ni2Sb2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F021_D6h_z3
JVASP-20506,Ga2Y,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-35970,Se2LiZr,D3d,3,p;s;z3,z3,C07_D3d,F032_D3d_z3
JVASP-359,Zr2Te2,D6h,5,d;p;s;z3;z6,s,C01_D6h,F055_D6h_s
JVASP-37092,Si2Ni2,D2h,3,d;p;s,s,C04_D2h,F089_D2h_s
JVASP-37414,W3Ta,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-37463,Ru2YNb,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-38820,Ta2CrRu,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-38821,Zn2PtRh,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-38858,Zr2OsRu,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-39096,Tc2SiW,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-39109,Sc2AlIr,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-39117,Sc2GaIr,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-39828,Ir2BeSi,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-39836,Zn2LiRh,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-39845,Ir2MgAl,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-39947,Rh2AlZn,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-39985,Rh2MgSi,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
