jid,formula,point_group,n_channels,channels,dominant_channel,coarse_class,fine_class_tol005
JVASP-16317,Ru3ZrC,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-16775,Hf2Be2Si2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F142_D6h_z3
JVASP-100304,N4Sc2Ta2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F143_D6h_z3
JVASP-100442,N4Zn2Mo2,C6v,4,d;s;z3;z6,z3,C18_C6v,F071_C6v_z3
JVASP-10063,O4Co2,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F127_D4h_z4
JVASP-102098,O4NbRh,D2h,3,d;p;s,s,C04_D2h,F029_D2h_s
JVASP-102813,Sc2B2C2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F054_D6h_z3
JVASP-103120,Be4FeGe,Td,4,d;f;s;z3,z3,C05_Td,F059_Td_z3
JVASP-103410,B2TiMo,C2v,2,d;s,s,C09_C2v,F017_C2v_s
JVASP-104923,Al6TaNb,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F128_D4h_z4
JVASP-10934,O4Fe2,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F129_D4h_z4
JVASP-109736,B4HfTi,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F144_D6h_z3
JVASP-110540,O2SrNbN,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F033_D4h_z4
JVASP-113653,Al2H2O2,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F130_D4h_z4
JVASP-114014,B2O,C1,1,s,s,C11_C1,F022_C1_s
JVASP-114338,N2MgSi,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F010_D4h_z4
JVASP-114341,Si2N2Mg,D2d,5,d;d_x2y2;d_xy;s;z4,z4,C10_D2d,F083_D2d_z4
JVASP-114347,N2MgSn,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F010_D4h_z4
JVASP-114520,O2YB,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F014_C4v_z4
JVASP-114720,O2CaZr,D3d,3,p;s;z3,z3,C07_D3d,F104_D3d_z3
JVASP-114885,N2AlB,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F009_C4v_z4
JVASP-114941,F2ZrZn,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F009_C4v_z4
JVASP-1151,B2Mg,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-115500,B2O2S,D3d,3,p;s;z3,z3,C07_D3d,F105_D3d_z3
JVASP-116328,O3MgV,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-116346,N2TiZn,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F009_C4v_z4
JVASP-116405,O3YSi,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-116604,Nb10Si6N2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F057_D6h_z3
JVASP-118006,O2Cd,D2h,3,d;p;s,s,C04_D2h,F023_D2h_s
JVASP-118262,NaInF,Cs,2,d;s,s,C12_Cs,F044_Cs_s
JVASP-118266,F2InO,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F009_C4v_z4
JVASP-118669,O3NbAl,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-118893,F2Li,D2h,3,d;p;s,s,C04_D2h,F023_D2h_s
JVASP-119956,O3BaV,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-120305,N2ZrAl,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F010_D4h_z4
JVASP-12703,O8Mo3Sc,Cs,2,d;s,s,C12_Cs,F076_Cs_s
JVASP-14873,B6Sr,Oh,5,d;f;p;s;z3,f,C00_Oh,F027_Oh_f
JVASP-14893,Co4Si4,T,4,d;f;s;z3,z3,C17_T,F039_T_z3
JVASP-14914,Si2Ru,D4h,6,d;d_x2y2;d_xy;p;s;z4,s,C02_D4h,F025_D4h_s
JVASP-14967,Nb2B2,D2h,3,d;p;s,s,C04_D2h,F006_D2h_s
JVASP-15025,Nb2N2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F056_D6h_z3
JVASP-15288,Zr2Si2S2,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F010_D4h_z4
JVASP-15314,Sc3AlC,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-15637,Fe2AlV,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-15930,P4Ni2Mo2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F145_D6h_z3
JVASP-16066,Sc3GaC,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-16488,P4W2,C2v,2,d;s,s,C09_C2v,F028_C2v_s
JVASP-16922,O3YTi,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-16933,O3TiAl,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-17391,Sc3SnC,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-17437,Li4B4,D2h,3,d;p;s,s,C04_D2h,F091_D2h_s
JVASP-17589,Li2Fe2P2,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F131_D4h_z4
JVASP-17669,Ti4In2C2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-18803,Sc3InN,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-19613,Al3Ni2,D3d,3,p;s;z3,z3,C07_D3d,F106_D3d_z3
JVASP-19736,Si4Zr2,D2h,3,d;p;s,s,C04_D2h,F006_D2h_s
JVASP-19870,B6Ca,Oh,5,d;f;p;s;z3,f,C00_Oh,F027_Oh_f
JVASP-19914,B6Ba,Oh,5,d;f;p;s;z3,f,C00_Oh,F027_Oh_f
JVASP-20068,B4Ru2,D2h,3,d;p;s,s,C04_D2h,F092_D2h_s
JVASP-20079,Ta2B2,D2h,3,d;p;s,s,C04_D2h,F006_D2h_s
JVASP-20082,B2Ta,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-20096,B2Ti,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-20143,P12Rh4,Th,5,d;f;p;s;z3,f,C14_Th,F158_Th_f
JVASP-20192,Al12Mn2,D2h,3,d;p;s,s,C04_D2h,F045_D2h_s
JVASP-20272,B2Hf,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-20285,Be5Hf,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F038_D6h_z3
JVASP-20538,B2Hf,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-20551,Be5Hf,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F038_D6h_z3
JVASP-20803,Nb6C5,C2h,3,d;p;s,s,C08_C2h,F064_C2h_s
JVASP-21567,B6V2Co2,D2h,3,d;p;s,s,C04_D2h,F093_D2h_s
JVASP-21675,Be8Mn4,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F057_D6h_z3
JVASP-35977,B6Zr,Oh,5,d;f;p;s;z3,f,C00_Oh,F027_Oh_f
JVASP-36297,KAgO,Td,4,d;f;s;z3,s,C05_Td,F005_Td_s
JVASP-36554,N8Cr6,Oh,5,d;f;p;s;z3,f,C00_Oh,F155_Oh_f
JVASP-36602,O3TiCd,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-36615,O3ZnSi,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-36626,O3CdGe,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-36632,O3ZnGe,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-36636,O3SrGe,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
